G_SUBZONE,METER_ID,PAY_POLICY,VENDOR,METER_TYPE,INSTALLED_ON,PAY_POLICY,PRE_PAY,PARK_NO_PAY,TOW_AWAY,STREET_CLEANING
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
0AG,,08:00AM-08:00PM MON-SAT $0.25 120,IPS,SINGLE-SPACE,4/1/2017 1:00:00 AM,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,
